relationship_id	Interpro_Acc	Interpro_Name	Interpro_Short_Name	Interpro_Type	DGIDB_Human_Readable	Uniprot_Acc	Uniprot_Id	Uniprot_Protein_Name	Uniprot_Gene_Name	Uniprot_Evidence	Uniprot_Status	Entrez_Id	Ensembl_Id
Q13087_IPR013766	IPR013766	Thioredoxin domain	Thioredoxin_domain	Domain	Thioredoxin	Q13087	PDIA2_HUMAN	Protein disulfide-isomerase A2	PDIA2	1: Evidence at protein level	Swiss-Prot	64714	ENSG00000185615
P11801_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	P11801	KPSH1_HUMAN	Serine/threonine-protein kinase H1	PSKH1	1: Evidence at protein level	Swiss-Prot	5681	ENSG00000159792
P34982_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	P34982	OR1D2_HUMAN	Olfactory receptor 1D2	OR1D2	1: Evidence at protein level	Swiss-Prot	4991	ENSG00000184166
P24530_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	P24530	EDNRB_HUMAN	Endothelin B receptor	EDNRB	1: Evidence at protein level	Swiss-Prot	1910	ENSG00000136160
P00439_IPR001273	IPR001273	Aromatic amino acid hydroxylase	ArAA_hydroxylase	Family	N/A	P00439	PH4H_HUMAN	Phenylalanine-4-hydroxylase	PAH	1: Evidence at protein level	Swiss-Prot	5053	ENSG00000171759
P47869_IPR006201	IPR006201	Neurotransmitter-gated ion-channel	Neur_channel	Family	Ion Channel	P47869	GBRA2_HUMAN	Gamma-aminobutyric acid receptor subunit alpha-2	GABRA2	2: Evidence at transcript level	Swiss-Prot	2555	ENSG00000151834
Q13002_IPR001320	IPR001320	Ionotropic glutamate receptor	Iontro_glu_rcpt	Domain	N/A	Q13002	GRIK2_HUMAN	Glutamate receptor, ionotropic kainate 2	GRIK2	1: Evidence at protein level	Swiss-Prot	2898	ENSG00000164418
Q8NGK0_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGK0	O51G2_HUMAN	Olfactory receptor 51G2	OR51G2	2: Evidence at transcript level	Swiss-Prot	81282	ENSG00000176893
P09238_IPR006026	IPR006026	Peptidase, metallopeptidase	Peptidase_Metallo	Domain	Protease	P09238	MMP10_HUMAN	Stromelysin-2	MMP10	1: Evidence at protein level	Swiss-Prot	4319	ENSG00000166670
Q7RTY8_IPR001254	IPR001254	Peptidase S1/S6, chymotrypsin/Hap	Peptidase_S1_S6	Domain	Protease	Q7RTY8	TMPS7_HUMAN	Transmembrane protease serine 7	TMPRSS7	2: Evidence at transcript level	Swiss-Prot	344805	ENSG00000176040
O14804_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	O14804	TAAR5_HUMAN	Trace amine-associated receptor 5	TAAR5	2: Evidence at transcript level	Swiss-Prot	9038	ENSG00000135569
O95013_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	O95013	O4F21_HUMAN	Olfactory receptor 4F21	OR4F21	2: Evidence at transcript level	Swiss-Prot	441308	ENSG00000176269
Q6B8I1_IPR000387	IPR000387	Protein-tyrosine/Dual-specificity phosphatase	Tyr/Dual-specificity_Pase	Domain	Protein Phosphatase	Q6B8I1	MDSP_HUMAN	Dual specificity protein phosphatase 13 isoform MDSP	DUSP13	1: Evidence at protein level	Swiss-Prot	51207	ENSG00000079393
Q9UM73_IPR001245	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain	Ser-Thr/Tyr_kinase_cat_dom	Domain	Kinase	Q9UM73	ALK_HUMAN	ALK tyrosine kinase receptor	ALK	1: Evidence at protein level	Swiss-Prot	238	ENSG00000171094
Q53FA7_IPR002085	IPR002085	Alcohol dehydrogenase superfamily, zinc-type	ADH_SF_Zn-type	Family	N/A	Q53FA7	QORX_HUMAN	Quinone oxidoreductase PIG3	TP53I3	1: Evidence at protein level	Swiss-Prot	9540	ENSG00000115129
Q8TDN2_IPR005821	IPR005821	Ion transport domain	Ion_trans_dom	Domain	Ion Channel	Q8TDN2	KCNV2_HUMAN	Potassium voltage-gated channel subfamily V member 2	KCNV2	1: Evidence at protein level	Swiss-Prot	169522	ENSG00000168263
P00390_IPR001327	IPR001327	Pyridine nucleotide-disulphide oxidoreductase, NAD-binding domain	Pyr_OxRdtase_NAD-bd_dom	Domain	N/A	P00390	GSHR_HUMAN	Glutathione reductase, mitochondrial	GSR	1: Evidence at protein level	Swiss-Prot	2936	ENSG00000104687
Q99759_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q99759	M3K3_HUMAN	Mitogen-activated protein kinase kinase kinase 3	MAP3K3	1: Evidence at protein level	Swiss-Prot	4215	ENSG00000198909
A6NDL8_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	A6NDL8	O6C68_HUMAN	Olfactory receptor 6C68	OR6C68	2: Evidence at transcript level	Swiss-Prot	403284	ENSG00000205327
Q8NGZ3_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGZ3	O13G1_HUMAN	Olfactory receptor 13G1	OR13G1	2: Evidence at transcript level	Swiss-Prot	441933	ENSG00000197437
Q9HBH9_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q9HBH9	MKNK2_HUMAN	MAP kinase-interacting serine/threonine-protein kinase 2	MKNK2	1: Evidence at protein level	Swiss-Prot	2872	ENSG00000099875
Q9C037_IPR001870	IPR001870	B30.2/SPRY domain	B30.2/SPRY	Domain	B30.2/SPRY domain	Q9C037	TRIM4_HUMAN	Tripartite motif-containing protein 4	TRIM4	2: Evidence at transcript level	Swiss-Prot	89122	ENSG00000146833
Q00534_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q00534	CDK6_HUMAN	Cyclin-dependent kinase 6	CDK6	1: Evidence at protein level	Swiss-Prot	1021	ENSG00000105810
Q8IVH8_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q8IVH8	M4K3_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 3	MAP4K3	1: Evidence at protein level	Swiss-Prot	8491	ENSG00000011566
P59796_IPR000889	IPR000889	Glutathione peroxidase	Glutathione_peroxidase	Family	N/A	P59796	GPX6_HUMAN	Glutathione peroxidase 6	GPX6	2: Evidence at transcript level	Swiss-Prot	257202	ENSG00000198704
A6NL08_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	A6NL08	O6C75_HUMAN	Olfactory receptor 6C75	OR6C75	2: Evidence at transcript level	Swiss-Prot	390323	ENSG00000187857
Q8TED1_IPR000889	IPR000889	Glutathione peroxidase	Glutathione_peroxidase	Family	N/A	Q8TED1	GPX8_HUMAN	Probable glutathione peroxidase 8	GPX8	1: Evidence at protein level	Swiss-Prot	493869	ENSG00000164294
Q1KMD3_IPR001870	IPR001870	B30.2/SPRY domain	B30.2/SPRY	Domain	B30.2/SPRY domain	Q1KMD3	HNRL2_HUMAN	Heterogeneous nuclear ribonucleoprotein U-like protein 2	HNRNPUL2	1: Evidence at protein level	Swiss-Prot	221092	ENSG00000214753
P00326_IPR002085	IPR002085	Alcohol dehydrogenase superfamily, zinc-type	ADH_SF_Zn-type	Family	N/A	P00326	ADH1G_HUMAN	Alcohol dehydrogenase 1C	ADH1C	1: Evidence at protein level	Swiss-Prot	126	N/A
P30530_IPR001245	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain	Ser-Thr/Tyr_kinase_cat_dom	Domain	Kinase	P30530	UFO_HUMAN	Tyrosine-protein kinase receptor UFO	AXL	1: Evidence at protein level	Swiss-Prot	558	ENSG00000167601
P48740_IPR001254	IPR001254	Peptidase S1/S6, chymotrypsin/Hap	Peptidase_S1_S6	Domain	Protease	P48740	MASP1_HUMAN	Mannan-binding lectin serine protease 1	MASP1	1: Evidence at protein level	Swiss-Prot	5648	ENSG00000127241
P32297_IPR006202	IPR006202	Neurotransmitter-gated ion-channel ligand-binding	Neur_chan_lig-bd	Domain	Ion Channel	P32297	ACHA3_HUMAN	Neuronal acetylcholine receptor subunit alpha-3	CHRNA3	1: Evidence at protein level	Swiss-Prot	1136	ENSG00000080644
Q16611_IPR000712	IPR000712	Apoptosis regulator, Bcl-2, BH	Bcl2_BH	Domain	N/A	Q16611	BAK_HUMAN	Bcl-2 homologous antagonist/killer	BAK1	1: Evidence at protein level	Swiss-Prot	578	ENSG00000030110
Q14831_IPR000337	IPR000337	GPCR, family 3	GPCR_3	Family	G Protein Coupled Receptor	Q14831	GRM7_HUMAN	Metabotropic glutamate receptor 7	GRM7	1: Evidence at protein level	Swiss-Prot	2917	ENSG00000196277
P35372_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	P35372	OPRM_HUMAN	Mu-type opioid receptor	OPRM1	1: Evidence at protein level	Swiss-Prot	4988	ENSG00000112038
O95382_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	O95382	M3K6_HUMAN	Mitogen-activated protein kinase kinase kinase 6	MAP3K6	1: Evidence at protein level	Swiss-Prot	9064	ENSG00000142733
Q9UGN5_IPR012317	IPR012317	Poly(ADP-ribose) polymerase, catalytic domain	Poly(ADP-ribose)pol_cat_dom	Domain	N/A	Q9UGN5	PARP2_HUMAN	Poly [ADP-ribose] polymerase 2	PARP2	1: Evidence at protein level	Swiss-Prot	10038	ENSG00000129484
Q5T7W7_IPR001763	IPR001763	Rhodanese-like domain	Rhodanese-like_dom	Domain	N/A	Q5T7W7	TSTD2_HUMAN	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 2	TSTD2	1: Evidence at protein level	Swiss-Prot	158427	ENSG00000136925
P51160_IPR002073	IPR002073	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	PDEase_catalytic_dom	Domain	N/A	P51160	PDE6C_HUMAN	Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'	PDE6C	1: Evidence at protein level	Swiss-Prot	5146	ENSG00000095464
P43234_IPR000169	IPR000169	Cysteine peptidase, cysteine active site	Pept_cys_AS	Active_site	Protease	P43234	CATO_HUMAN	Cathepsin O	CTSO	2: Evidence at transcript level	Swiss-Prot	1519	ENSG00000256043
Q86VZ1_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q86VZ1	P2RY8_HUMAN	P2Y purinoceptor 8	P2RY8	1: Evidence at protein level	Swiss-Prot	286530	ENSG00000182162
Q8NI99_IPR002181	IPR002181	Fibrinogen, alpha/beta/gamma chain, C-terminal globular	Fibrinogen_a/b/g_C	Domain	Fibrinogen	Q8NI99	ANGL6_HUMAN	Angiopoietin-related protein 6	ANGPTL6	1: Evidence at protein level	Swiss-Prot	83854	ENSG00000130812
P08217_IPR001254	IPR001254	Peptidase S1/S6, chymotrypsin/Hap	Peptidase_S1_S6	Domain	Protease	P08217	CEL2A_HUMAN	Chymotrypsin-like elastase family member 2A	CELA2A	1: Evidence at protein level	Swiss-Prot	63036	ENSG00000142615
Q5JXX5_IPR006201	IPR006201	Neurotransmitter-gated ion-channel	Neur_channel	Family	Ion Channel	Q5JXX5	GLRA4_HUMAN	Glycine receptor subunit alpha-4	GLRA4	2: Evidence at transcript level	Swiss-Prot	441509	ENSG00000188828
P05155_IPR000215	IPR000215	Serpin family	Serpin_fam	Family	Protease Inhibitor	P05155	IC1_HUMAN	Plasma protease C1 inhibitor	SERPING1	1: Evidence at protein level	Swiss-Prot	710	ENSG00000149131
Q9BS26_IPR013766	IPR013766	Thioredoxin domain	Thioredoxin_domain	Domain	Thioredoxin	Q9BS26	ERP44_HUMAN	Endoplasmic reticulum resident protein 44	ERP44	1: Evidence at protein level	Swiss-Prot	23071	ENSG00000023318
Q330K2_IPR002060	IPR002060	Squalene/phytoene synthase	Squ/phyt_synthse	Family	N/A	Q330K2	NDUF6_HUMAN	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	NDUFAF6	1: Evidence at protein level	Swiss-Prot	137682	N/A
Q8NGY1_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGY1	O10Z1_HUMAN	Olfactory receptor 10Z1	OR10Z1	2: Evidence at transcript level	Swiss-Prot	128368	ENSG00000198967
Q8NGN5_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGN5	O10G8_HUMAN	Olfactory receptor 10G8	OR10G8	2: Evidence at transcript level	Swiss-Prot	219869	ENSG00000234560
Q8NGC8_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGC8	O11H7_HUMAN	Olfactory receptor 11H7	OR11H7	2: Evidence at transcript level	Swiss-Prot	N/A	N/A
Q8N6U8_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8N6U8	GP161_HUMAN	G-protein coupled receptor 161	GPR161	2: Evidence at transcript level	Swiss-Prot	23432	ENSG00000143147
Q8NGY0_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGY0	O10X1_HUMAN	Olfactory receptor 10X1	OR10X1	2: Evidence at transcript level	Swiss-Prot	128367	ENSG00000186400
P17516_IPR001395	IPR001395	Aldo/keto reductase	Aldo/ket_red	Family	N/A	P17516	AK1C4_HUMAN	Aldo-keto reductase family 1 member C4	AKR1C4	1: Evidence at protein level	Swiss-Prot	1109	ENSG00000198610
P34903_IPR006201	IPR006201	Neurotransmitter-gated ion-channel	Neur_channel	Family	Ion Channel	P34903	GBRA3_HUMAN	Gamma-aminobutyric acid receptor subunit alpha-3	GABRA3	2: Evidence at transcript level	Swiss-Prot	2556	ENSG00000011677
Q9Y2D0_IPR001148	IPR001148	Alpha carbonic anhydrase	Carbonic_anhydrase_a	Domain	N/A	Q9Y2D0	CAH5B_HUMAN	Carbonic anhydrase 5B, mitochondrial	CA5B	1: Evidence at protein level	Swiss-Prot	11238	ENSG00000169239
Q9HCF6_IPR005821	IPR005821	Ion transport domain	Ion_trans_dom	Domain	Ion Channel	Q9HCF6	TRPM3_HUMAN	Transient receptor potential cation channel subfamily M member 3	TRPM3	2: Evidence at transcript level	Swiss-Prot	80036	ENSG00000083067
P06493_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	P06493	CDK1_HUMAN	Cyclin-dependent kinase 1	CDK1	1: Evidence at protein level	Swiss-Prot	983	ENSG00000170312
Q9BXK5_IPR000712	IPR000712	Apoptosis regulator, Bcl-2, BH	Bcl2_BH	Domain	N/A	Q9BXK5	B2L13_HUMAN	Bcl-2-like protein 13	BCL2L13	1: Evidence at protein level	Swiss-Prot	23786	ENSG00000099968
Q9HB55_IPR001128	IPR001128	Cytochrome P450	Cyt_P450	Family	Cytochrome P450	Q9HB55	CP343_HUMAN	Cytochrome P450 3A43	CYP3A43	1: Evidence at protein level	Swiss-Prot	64816	ENSG00000021461
Q6IF42_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q6IF42	OR2A2_HUMAN	Olfactory receptor 2A2	OR2A2	2: Evidence at transcript level	Swiss-Prot	442361	ENSG00000221989
P21709_IPR001245	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain	Ser-Thr/Tyr_kinase_cat_dom	Domain	Kinase	P21709	EPHA1_HUMAN	Ephrin type-A receptor 1	EPHA1	1: Evidence at protein level	Swiss-Prot	2041	ENSG00000146904
Q6IFG1_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q6IFG1	O52E8_HUMAN	Olfactory receptor 52E8	OR52E8	1: Evidence at protein level	Swiss-Prot	390079	ENSG00000183269
Q96IY4_IPR000834	IPR000834	Peptidase M14, carboxypeptidase A	Peptidase_M14	Domain	Protease	Q96IY4	CBPB2_HUMAN	Carboxypeptidase B2	CPB2	1: Evidence at protein level	Swiss-Prot	1361	ENSG00000080618
Q53GL7_IPR012317	IPR012317	Poly(ADP-ribose) polymerase, catalytic domain	Poly(ADP-ribose)pol_cat_dom	Domain	N/A	Q53GL7	PAR10_HUMAN	Poly [ADP-ribose] polymerase 10	PARP10	1: Evidence at protein level	Swiss-Prot	84875	ENSG00000178685; ENSG00000261660
P30988_IPR000832	IPR000832	GPCR, family 2, secretin-like	GPCR_2_secretin-like	Family	G Protein Coupled Receptor	P30988	CALCR_HUMAN	Calcitonin receptor	CALCR	1: Evidence at protein level	Swiss-Prot	799	ENSG00000004948
Q05397_IPR001245	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain	Ser-Thr/Tyr_kinase_cat_dom	Domain	Kinase	Q05397	FAK1_HUMAN	Focal adhesion kinase 1	PTK2	1: Evidence at protein level	Swiss-Prot	5747	ENSG00000169398
P51575_IPR001429	IPR001429	P2X purinoreceptor	P2X_purnocptor	Family	N/A	P51575	P2RX1_HUMAN	P2X purinoceptor 1	P2RX1	1: Evidence at protein level	Swiss-Prot	5023	ENSG00000108405
P23946_IPR001254	IPR001254	Peptidase S1/S6, chymotrypsin/Hap	Peptidase_S1_S6	Domain	Protease	P23946	CMA1_HUMAN	Chymase	CMA1	1: Evidence at protein level	Swiss-Prot	1215	ENSG00000092009
Q96R09_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q96R09	OR5B2_HUMAN	Olfactory receptor 5B2	OR5B2	2: Evidence at transcript level	Swiss-Prot	390190	ENSG00000172365
Q86XS5_IPR002181	IPR002181	Fibrinogen, alpha/beta/gamma chain, C-terminal globular	Fibrinogen_a/b/g_C	Domain	Fibrinogen	Q86XS5	ANGL5_HUMAN	Angiopoietin-related protein 5	ANGPTL5	2: Evidence at transcript level	Swiss-Prot	253935	ENSG00000187151
P05106_IPR002369	IPR002369	Integrin beta subunit, N-terminal	Integrin_bsu_N	Domain	N/A	P05106	ITB3_HUMAN	Integrin beta-3	ITGB3	1: Evidence at protein level	Swiss-Prot	3690	ENSG00000259207
Q8IWB6_IPR001245	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain	Ser-Thr/Tyr_kinase_cat_dom	Domain	Kinase	Q8IWB6	TEX14_HUMAN	Inactive serine/threonine-protein kinase TEX14	TEX14	1: Evidence at protein level	Swiss-Prot	56155	ENSG00000121101
Q07820_IPR000712	IPR000712	Apoptosis regulator, Bcl-2, BH	Bcl2_BH	Domain	N/A	Q07820	MCL1_HUMAN	Induced myeloid leukemia cell differentiation protein Mcl-1	MCL1	1: Evidence at protein level	Swiss-Prot	4170	ENSG00000143384
P13798_IPR001375	IPR001375	Peptidase S9, prolyl oligopeptidase, catalytic domain	Peptidase_S9	Domain	Protease	P13798	ACPH_HUMAN	Acylamino-acid-releasing enzyme	APEH	1: Evidence at protein level	Swiss-Prot	327	ENSG00000164062
O95278_IPR000387	IPR000387	Protein-tyrosine/Dual-specificity phosphatase	Tyr/Dual-specificity_Pase	Domain	Protein Phosphatase	O95278	EPM2A_HUMAN	Laforin	EPM2A	1: Evidence at protein level	Swiss-Prot	7957	ENSG00000112425
O00754_IPR000602	IPR000602	Glycoside hydrolase, family 38, core	Glyco_hydro_38_core	Domain	N/A	O00754	MA2B1_HUMAN	Lysosomal alpha-mannosidase E peptide	MAN2B1	1: Evidence at protein level	Swiss-Prot	4125	ENSG00000104774
Q8NGT2_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGT2	O13J1_HUMAN	Olfactory receptor 13J1	OR13J1	2: Evidence at transcript level	Swiss-Prot	392309	ENSG00000168828
Q8NGI4_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGI4	OR4DB_HUMAN	Olfactory receptor 4D11	OR4D11	2: Evidence at transcript level	Swiss-Prot	219986	ENSG00000176200
Q6ZN16_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q6ZN16	M3K15_HUMAN	Mitogen-activated protein kinase kinase kinase 15	MAP3K15	1: Evidence at protein level	Swiss-Prot	389840	ENSG00000180815
Q8NGU9_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGU9	GP150_HUMAN	Probable G-protein coupled receptor 150	GPR150	2: Evidence at transcript level	Swiss-Prot	285601	ENSG00000178015
Q96RB7_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q96RB7	OR5MB_HUMAN	Olfactory receptor 5M11	OR5M11	2: Evidence at transcript level	Swiss-Prot	219487	ENSG00000255223
Q9NQH7_IPR000994	IPR000994	Peptidase M24, structural domain	Pept_M24_structural-domain	Domain	Protease	Q9NQH7	XPP3_HUMAN	Probable Xaa-Pro aminopeptidase 3	XPNPEP3	1: Evidence at protein level	Swiss-Prot	63929	ENSG00000196236
Q6NV75_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q6NV75	GP153_HUMAN	Probable G-protein coupled receptor 153	GPR153	2: Evidence at transcript level	Swiss-Prot	387509	ENSG00000158292
Q8NGL7_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGL7	OR4P4_HUMAN	Olfactory receptor 4P4	OR4P4	2: Evidence at transcript level	Swiss-Prot	81300	ENSG00000181927
Q9NYA4_IPR000387	IPR000387	Protein-tyrosine/Dual-specificity phosphatase	Tyr/Dual-specificity_Pase	Domain	Protein Phosphatase	Q9NYA4	MTMR4_HUMAN	Myotubularin-related protein 4	MTMR4	2: Evidence at transcript level	Swiss-Prot	9110	ENSG00000108389
Q8NGD5_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGD5	OR4KE_HUMAN	Olfactory receptor 4K14	OR4K14	2: Evidence at transcript level	Swiss-Prot	122740	ENSG00000169484
O43614_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	O43614	OX2R_HUMAN	Orexin receptor type 2	HCRTR2	2: Evidence at transcript level	Swiss-Prot	3062	ENSG00000137252
Q9UIK4_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q9UIK4	DAPK2_HUMAN	Death-associated protein kinase 2	DAPK2	1: Evidence at protein level	Swiss-Prot	23604	ENSG00000035664
O14815_IPR000169	IPR000169	Cysteine peptidase, cysteine active site	Pept_cys_AS	Active_site	Protease	O14815	CAN9_HUMAN	Calpain-9	CAPN9	1: Evidence at protein level	Swiss-Prot	10753	ENSG00000135773
Q9BUT1_IPR002198	IPR002198	Short-chain dehydrogenase/reductase SDR	DH_sc/Rdtase_SDR	Family	Short Chain Dehydrogenase/Reductase	Q9BUT1	BDH2_HUMAN	3-hydroxybutyrate dehydrogenase type 2	BDH2	1: Evidence at protein level	Swiss-Prot	56898	ENSG00000164039
O15393_IPR001190	IPR001190	Speract/scavenger receptor	Srcr_rcpt	Domain	N/A	O15393	TMPS2_HUMAN	Transmembrane protease serine 2 non-catalytic chain	TMPRSS2	1: Evidence at protein level	Swiss-Prot	7113	ENSG00000184012
Q9Y2G8_IPR013766	IPR013766	Thioredoxin domain	Thioredoxin_domain	Domain	Thioredoxin	Q9Y2G8	DJC16_HUMAN	DnaJ homolog subfamily C member 16	DNAJC16	2: Evidence at transcript level	Swiss-Prot	23341	ENSG00000116138
Q14149_IPR003594	IPR003594	ATPase-like, ATP-binding domain	ATPase-like_ATP-bd	Domain	N/A	Q14149	MORC3_HUMAN	MORC family CW-type zinc finger protein 3	MORC3	1: Evidence at protein level	Swiss-Prot	23515	ENSG00000159256
P55263_IPR002173	IPR002173	Carbohydrate/puine kinase, PfkB, conserved site	Carboh/pur_kinase_PfkB_CS	Conserved_site	Kinase	P55263	ADK_HUMAN	Adenosine kinase	ADK	1: Evidence at protein level	Swiss-Prot	132	ENSG00000156110
Q8IW75_IPR000215	IPR000215	Serpin family	Serpin_fam	Family	Protease Inhibitor	Q8IW75	SPA12_HUMAN	Serpin A12	SERPINA12	2: Evidence at transcript level	Swiss-Prot	145264	ENSG00000165953
Q9BUF5_IPR000217	IPR000217	Tubulin	Tubulin	Family	N/A	Q9BUF5	TBB6_HUMAN	Tubulin beta-6 chain	TUBB6	1: Evidence at protein level	Swiss-Prot	84617	ENSG00000176014
P05093_IPR001128	IPR001128	Cytochrome P450	Cyt_P450	Family	Cytochrome P450	P05093	CP17A_HUMAN	Steroid 17-alpha-hydroxylase/17,20 lyase	CYP17A1	1: Evidence at protein level	Swiss-Prot	1586	ENSG00000148795
Q13131_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q13131	AAPK1_HUMAN	5'-AMP-activated protein kinase catalytic subunit alpha-1	PRKAA1	1: Evidence at protein level	Swiss-Prot	5562	ENSG00000132356
Q8NGI9_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGI9	OR5A2_HUMAN	Olfactory receptor 5A2	OR5A2	2: Evidence at transcript level	Swiss-Prot	219981	ENSG00000172324
Q04206_IPR000451	IPR000451	NF-kappa-B/Rel/dorsal	NF_Rel_dor	Family	N/A	Q04206	TF65_HUMAN	Transcription factor p65	RELA	1: Evidence at protein level	Swiss-Prot	5970	ENSG00000173039
O60673_IPR006133	IPR006133	DNA-directed DNA polymerase, family B, exonuclease domain	DNA-dir_DNA_pol_B_exonuc	Domain	Dna Directed Dna Polymerase	O60673	DPOLZ_HUMAN	DNA polymerase zeta catalytic subunit	REV3L	1: Evidence at protein level	Swiss-Prot	5980	ENSG00000009413
P29508_IPR000215	IPR000215	Serpin family	Serpin_fam	Family	Protease Inhibitor	P29508	SPB3_HUMAN	Serpin B3	SERPINB3	1: Evidence at protein level	Swiss-Prot	6317	ENSG00000057149
